Année,Boké,Conakry,Faranah,Kankan,Kindia,Labé,Mamou,Nzérékoré
2011,1037796,1591498,902213,1880302,1495176,951431,700289,1100000
2012,1061250,1627465,922603,1922796,1528966,972933,716115,1124860
2013,1085234,1664246,943453,1966252,1563521,994921,732299,1150281
2014,1109760,1701858,964775,2010689,1598857,1017406,748849,1176278
2015,1134841,1740320,986579,2056130,1634991,1040400,765773,1202862
2016,1160488,1779651,1008876,2102599,1671942,1063913,783080,1230046
2017,1186715,1819871,1031677,2150118,1709728,1087957,800777,1257845
2018,1213535,1861001,1054993,2198710,1748367,1112545,818875,1286273
2019,1240961,1903059,1078835,2248401,1787881,1137689,837381,1315342
2020,1269007,1946068,1103217,2299215,1828287,1163400,856306,1345069
2021,1297686,1990049,1128150,2351177,1869606,1189693,875659,1375468
2022,1327014,2035025,1153646,2404314,1911859,1216580,895449,1406553
2023,1357005,2081016,1179718,2458652,1955067,1244075,915686,1438341
2024,1387673,2128047,1206380,2514217,1999252,1272191,936380,1470848
2025,1419034,2176141,1233644,2571038,2044435,1300943,957543,1504089
2026,1451104,2225322,1261525,2629144,2090639,1330344,979183,1538082
2027,1483899,2275614,1290035,2688563,2137887,1360410,1001313,1572842
2028,1517436,2327043,1319190,2749324,2186204,1391155,1023942,1608388
2029,1551730,2379634,1349004,2811459,2235612,1422595,1047083,1644738
2030,1586799,2433414,1379491,2874998,2286137,1454746,1070748,1681909
2031,1622660,2488409,1410668,2939973,2337803,1487623,1094946,1719920
2032,1659332,2544647,1442549,3006416,2390638,1521243,1119692,1758791
2033,1696833,2602156,1475150,3074361,2444666,1555624,1144997,1798539
2034,1735182,2660965,1508489,3143842,2499916,1590781,1170874,1839186
2035,1774397,2721103,1542581,3214893,2556414,1626732,1197336,1880752
2036,1814498,2782600,1577443,3287549,2614189,1663496,1224396,1923257
2037,1855506,2845486,1613093,3361848,2673269,1701091,1252067,1966722
2038,1897440,2909794,1649549,3437826,2733685,1739536,1280364,2011170
2039,1940323,2975556,1686829,3515520,2795467,1778850,1309300,2056623
2040,1984174,3042803,1724951,3594971,2858644,1819052,1338890,2103103
2041,2029016,3111571,1763935,3676218,2923250,1860162,1369149,2150633
2042,2074872,3181892,1803800,3759300,2989315,1902202,1400092,2199237
2043,2121764,3253803,1844566,3844260,3056874,1945192,1431734,2248940
2044,2169716,3327339,1886253,3931141,3125959,1989153,1464091,2299766
2045,2218752,3402537,1928883,4019984,3196606,2034108,1497180,2351740
2046,2268895,3479434,1972475,4110836,3268849,2080079,1531016,2404890
2047,2320173,3558069,2017053,4203741,3342725,2127089,1565617,2459240
2048,2372608,3638482,2062639,4298745,3418270,2175161,1601000,2514819
2049,2426229,3720712,2109254,4395897,3495523,2224319,1637183,2571654
2050,2481062,3804800,2156923,4495244,3574522,2274589,1674183,2629774
2051,2537134,3890788,2205670,4596837,3655306,2325995,1712020,2689206
2052,2594473,3978720,2255518,4700725,3737916,2378562,1750711,2749983
2053,2653109,4068639,2306493,4806962,3822393,2432318,1790277,2812132
2054,2713069,4160590,2358620,4915599,3908779,2487288,1830738,2875686
2055,2774384,4254620,2411924,5026692,3997118,2543501,1872112,2940677
2056,2837085,4350774,2466434,5140295,4087453,2600984,1914422,3007136
2057,2901203,4449102,2522175,5256466,4179829,2659766,1957688,3075097
2058,2966771,4549651,2579176,5375262,4274293,2719877,2001932,3144595
2059,3033820,4652473,2637466,5496743,4370892,2781346,2047175,3215662
2060,3102384,4757619,2697073,5620969,4469675,2844205,2093442,3288336
2061,3172498,4865141,2758026,5748003,4570689,2908484,2140753,3362653
2062,3244196,4975094,2820358,5877908,4673987,2974216,2189134,3438649
2063,3317515,5087531,2884098,6010749,4779619,3041433,2238609,3516362
2064,3392491,5202509,2949279,6146592,4887638,3110169,2289201,3595832
2065,3469161,5320086,3015932,6285505,4998099,3180459,2340937,3677098
2066,3547564,5440320,3084092,6427557,5111056,3252337,2393843,3760200
2067,3627739,5563271,3153793,6572820,5226566,3325840,2447943,3845181
2068,3709726,5689001,3225069,6721366,5344686,3401004,2503267,3932082
2069,3793566,5817572,3297955,6873268,5465476,3477867,2559841,4020947
2070,3879301,5949049,3372489,7028604,5588996,3556467,2617693,4111820
2071,3966973,6083498,3448707,7187451,5715307,3636843,2676853,4204748
2072,4056627,6220985,3526648,7349887,5844473,3719036,2737350,4299775
2073,4148306,6361579,3606350,7515995,5976558,3803086,2799214,4396950
2074,4242058,6505351,3687854,7685856,6111629,3889036,2862476,4496321
2075,4337929,6652372,3771199,7859556,6249751,3976928,2927168,4597938
2076,4435966,6802716,3856428,8037182,6390996,4066806,2993322,4701851
2077,4536219,6956457,3943584,8218823,6535432,4158716,3060971,4808113
2078,4638737,7113673,4032709,8404568,6683133,4252703,3130149,4916776
2079,4743573,7274442,4123848,8594511,6834172,4348814,3200891,5027896
2080,4850777,7438844,4217047,8788747,6988624,4447097,3273231,5141526
2081,4960405,7606962,4312352,8987373,7146567,4547602,3347206,5257725
2082,5072510,7778880,4409811,9190488,7308080,4650378,3422853,5376549
2083,5187149,7954682,4509473,9398193,7473242,4755476,3500209,5498059
2084,5304378,8134458,4611387,9610592,7642137,4862950,3579314,5622315
2085,5424257,8318297,4715605,9827791,7814850,4972853,3660206,5749380
2086,5546846,8506290,4822177,10049899,7991465,5085239,3742927,5879316
2087,5672204,8698532,4931158,10277027,8172072,5200166,3827517,6012188
2088,5800396,8895119,5042603,10509288,8356761,5317689,3914019,6148064
2089,5931485,9096149,5156565,10746798,8545624,5437869,4002476,6287010
2090,6065537,9301722,5273104,10989676,8738755,5560765,4092932,6429096
2091,6202618,9511941,5392276,11238042,8936251,5686438,4185432,6574394
2092,6342797,9726911,5514141,11492022,9138210,5814952,4280023,6722975
2093,6486144,9946739,5638761,11751742,9344734,5946370,4376752,6874915
2094,6632731,10171535,5766197,12017331,9555925,6080758,4475666,7030288
2095,6782631,10401412,5896513,12288923,9771889,6218183,4576816,7189172
2096,6935918,10636484,6029774,12566652,9992734,6358714,4680252,7351647
2097,7092670,10876869,6166047,12850659,10218569,6502421,4786026,7517795
2098,7252965,11122686,6305400,13141084,10449509,6649375,4894190,7687697
2099,7416882,11374058,6447902,13438072,10685668,6799651,5004799,7861439
2100,7584503,11631112,6593625,13741773,10927164,6953323,5117907,8039107
